Marketing,0.00%,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investors,0.00%,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INO,0.00%,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earn,0.00%,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecosystem Reserve,0.00%,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquidity / Listing,0.00%,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Token Unlock Schesule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,TGE,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,0.00%,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marketing,0.00%,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investors,0.00%,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INO,0.00%,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earn,0.00%,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecosystem Reserve,0.00%,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquidity / Listing,0.00%,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Token Unlock Schesule (TGE-1Y),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,TGE,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,0.00%,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marketing,0.00%,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investors,0.00%,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INO,0.00%,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earn,0.00%,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecosystem Reserve,0.00%,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquidity / Listing,0.00%,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,


Sample: 表1
,,,Instructions,"Distribution Schedule Token
Please fill-in only the green areas 
The rest of the spreadsheet will auto fill based on the inputs in the green field.",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Price Per TOken,$0.04,TOTAL SUPPLY,"1,000,000,000.00",,,Days Post TGE,0,7,14,21,28,60,90,120,150
Title,Internal,Description,Supply,Percentage,Price per token,評価額,Collected USD,Total Percent,TGE 1,Week 2,Week 3,Week 4,Month 2,Month 3,Month 4,Month 5,Month 6
Seed Round,,,"50,000,000",5.00%,$0.0100,"$10,000,000.00","$500,000.00",100.00%,5.00%,10.00%,10.00%,10.00%,10.00%,10.00%,15.00%,15.00%,15.00%
Public Sale,,,"50,000,000",5.00%,$0.0200,"$20,000,000.00","$1,000,000.00",100.00%,5.00%,10.00%,10.00%,10.00%,10.00%,10.00%,15.00%,15.00%,15.00%
IEO,,,"100,000,000",10.00%,$0.0400,"$40,000,000.00","$4,000,000.00",100.00%,100.00%,,,,,,,,
Community,TRUE,,"500,000,000",50.00%,,,,100.00%,20.00%,,,,,,,,80.00%
Team,TRUE,,"300,000,000",30.00%,,,,100.00%,20.00%,,,,,,,,80.00%
,,,0,,,,,0.00%,,,,,,,,,
,,,0,,,,,0.00%,,,,,,,,,
,,,0,,,,,0.00%,,,,,,,,,
,,,0,,,,,0.00%,,,,,,,,,
Total,,,"1,000,000,000",100.00%,,,"$5,500,000.00",,,,,,,,,,
Tokens amount,,,,,,,,,,,,,,,,,
Seed Round,0.00,,"50,000,000.00",Inflation Rate Q1,62.26%,"$10,000,000.00","$500,000.00","50,000,000.00","2,500,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","7,500,000.00","7,500,000.00","7,500,000.00"
Public Sale,0.00,,"50,000,000.00",Inflation Rate Q2,315.09%,,"$1,000,000.00","50,000,000.00","2,500,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","7,500,000.00","7,500,000.00","7,500,000.00"
IEO,0.00,,"100,000,000.00",,,,"$4,000,000.00","200,000,000.00","100,000,000.00",0.00,0.00,"100,000,000.00",0.00,0.00,0.00,0.00,0.00
Community,TRUE,,"500,000,000.00",,,,$0.00,"500,000,000.00","100,000,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"400,000,000.00"
Team,TRUE,,"300,000,000.00",,,,$0.00,"300,000,000.00","60,000,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"240,000,000.00"
$0.00,0.00,,0.00,,,"$20,000,000.00",$0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
$0.00,0.00,,0.00,,,,$0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
$0.00,0.00,,0.00,,,,$0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
$0.00,0.00,,0.00,,,,$0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Total Tokens,,,"1,000,000,000.00",,,,,"1,100,000,000.00","265,000,000","275,000,000","285,000,000","395,000,000","405,000,000","415,000,000","430,000,000","445,000,000","1,100,000,000"
Price of supply,,,,,,,,,,,,,,,,,
Seed Round,0.00,,"50,000,000.00",Initial USD Supply,"$10,600,000.00",,"$2,000,000","$2,000,000","$100,000","$200,000","$200,000","$200,000","$200,000","$200,000","$300,000","$300,000","$300,000"
Public Sale,0.00,,"50,000,000.00",,,,"$2,000,000","$2,000,000","$100,000","$200,000","$200,000","$200,000","$200,000","$200,000","$300,000","$300,000","$300,000"
IEO,0.00,,"100,000,000.00",,,,"$8,000,000","$8,000,000","$4,000,000",$0,$0,"$4,000,000",$0,$0,$0,$0,$0
Community,TRUE,,"500,000,000.00",,,,"$20,000,000","$20,000,000","$4,000,000",$0,$0,$0,$0,$0,$0,$0,"$16,000,000"
Team,TRUE,,"300,000,000.00",,,,"$12,000,000","$12,000,000","$2,400,000",$0,$0,$0,$0,$0,$0,$0,"$9,600,000"
$0.00,,,0.00,,,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
$0.00,,,0.00,,,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
$0.00,,,0.00,,,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
$0.00,,,0.00,,,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
USD Value,,,"1,000,000,000.00",,,,,26200000,"$10,600,000.00","$400,000.00","$400,000.00","$4,400,000.00","$400,000.00","$400,000.00","$600,000.00","$600,000.00","$26,200,000.00"
,,,,,,,,Total USD Value,"$10,600,000.00","$11,000,000.00","$11,400,000.00","$15,800,000.00","$16,200,000.00","$16,600,000.00","$17,200,000.00","$17,800,000.00","$44,000,000.00"
Rate of Internal Value,,,,,,,,,,,,,,,,,
,,,,,,,,Internal Value,"$6,400,000.00","$6,400,000.00","$6,400,000.00","$6,400,000.00","$6,400,000.00","$6,400,000.00","$6,400,000.00","$6,400,000.00","$32,000,000.00"
,,,,,,,,External Value,"$4,200,000.00","$4,600,000.00","$5,000,000.00","$9,400,000.00","$9,800,000.00","$10,200,000.00","$10,800,000.00","$11,400,000.00","$12,000,000.00"
,,,,,,,,Rate of Internal Value,60.38%,58.18%,56.14%,40.51%,39.51%,38.55%,37.21%,35.96%,72.73%
